User_ID,UTC_Time,Account,Operation,Coin,Change,Remark
129992006,2021-10-07 01:41:00,Pool,Pool Distribution,ETH,1.4E-7,""
129992006,2021-10-07 01:45:29,Pool,Pool Distribution,ETH,0.00019938,""
129992006,2021-10-07 03:07:38,Spot,Savings Interest,BNB,0.00000623,""
129992006,2021-10-07 03:11:20,Spot,Savings Interest,BTC,1.5E-7,""
129992006,2021-10-07 03:11:48,Spot,Savings Interest,DAI,0.00975512,""
129992006,2021-10-07 03:14:52,Spot,Savings Interest,BUSD,0.00000115,""
129992006,2021-10-07 03:31:46,Spot,Savings Interest,USDT,0.00000400,""
129992006,2021-10-07 03:37:28,Spot,Savings Interest,XMR,4E-8,""
129992006,2021-10-07 08:53:47,Spot,ETH 2.0 Staking Rewards,BETH,0.00008245,""
129992006,2021-10-07 21:56:35,Spot,Savings purchase,BUSD,-0.00000115,""
129992006,2021-10-07 21:56:35,Spot,Savings purchase,BTC,-1.5E-7,""
129992006,2021-10-07 21:56:36,Spot,Savings purchase,USDT,-0.00000400,""
129992006,2021-10-07 21:56:36,Spot,Savings purchase,XMR,-4E-8,""
129992006,2021-10-07 22:34:38,Spot,Savings purchase,DAI,-0.00975512,""
129992006,2021-10-08 02:16:44,Pool,Pool Distribution,ETH,0.00033824,""
129992006,2021-10-08 02:16:44,Pool,Pool Distribution,ETH,1.3E-7,""
129992006,2021-10-08 03:06:30,Spot,Savings Interest,BNB,0.00000623,""
129992006,2021-10-08 03:09:58,Spot,Savings Interest,BTC,1.5E-7,""
129992006,2021-10-08 03:10:44,Spot,Savings Interest,DAI,0.00976904,""
129992006,2021-10-08 03:13:23,Spot,Savings Interest,BUSD,0.00000115,""
129992006,2021-10-08 03:23:11,Spot,Savings Interest,USDT,0.00001220,""
129992006,2021-10-08 03:37:23,Spot,Savings Interest,XMR,4E-8,""
129992006,2021-10-08 08:21:39,Spot,Dual savings settlement,USDT,100.05984000,""
129992006,2021-10-08 08:21:41,Spot,Dual savings settlement,USDT,100.09000000,""
129992006,2021-10-08 08:40:59,Spot,Dual savings settlement,BUSD,117.30390000,""
129992006,2021-10-08 08:46:51,Spot,ETH 2.0 Staking Rewards,BETH,0.00008222,""
129992006,2021-10-08 09:24:18,Spot,Dual savings purchase,USDT,-100.00000000,""
129992006,2021-10-08 09:24:58,Spot,Dual savings purchase,USDT,-100.10000000,""
129992006,2021-10-08 09:25:16,Spot,Dual savings purchase,BUSD,-117.30000000,""
129992006,2021-10-08 09:40:28,Spot,Savings Principal redemption,LDBNB,-0.15000000,""
129992006,2021-10-08 09:40:28,Spot,Savings Principal redemption,BNB,0.15000000,""
129992006,2021-10-08 09:40:49,Spot,Fee,BNB,-0.00011244,""
129992006,2021-10-08 09:40:49,Spot,Sell,DAI,65.53500000,""
129992006,2021-10-08 09:40:49,Spot,Sell,BNB,-0.15000000,""
129992006,2021-10-08 21:56:08,Spot,Savings purchase,BUSD,-0.00390115,""
129992006,2021-10-08 21:56:08,Spot,Savings purchase,USDT,-0.04985220,""
129992006,2021-10-08 21:56:08,Spot,Savings purchase,BTC,-1.5E-7,""
129992006,2021-10-08 21:56:09,Spot,Savings purchase,XMR,-4E-8,""
129992006,2021-10-08 22:32:56,Spot,Savings purchase,DAI,-65.54476904,""
129992006,2021-10-09 02:06:19,Spot,Savings Interest,BNB,0.00000479,""
129992006,2021-10-09 02:08:25,Spot,Savings Interest,BTC,1.5E-7,""
129992006,2021-10-09 02:10:00,Spot,Savings Interest,DAI,0.00977025,""
129992006,2021-10-09 02:12:09,Spot,Savings Interest,BUSD,0.00000115,""
